event_id,location,signal_strength,call_drops,data_speed_mbps,event_date
1,Location_1,50.0,0,200,2024-09-01
2,Location_2,50.5,1,202,2024-09-02
3,Location_3,51.0,2,204,2024-09-03
4,Location_4,51.5,0,206,2024-09-04
5,Location_5,52.0,1,208,2024-09-05
6,Location_6,52.5,2,210,2024-09-06
7,Location_7,53.0,0,212,2024-09-07
8,Location_8,53.5,1,214,2024-09-08
9,Location_9,54.0,2,216,2024-09-09
10,Location_10,54.5,0,218,2024-09-10
11,Location_11,55.0,1,220,2024-09-11
12,Location_12,55.5,2,222,2024-09-12
13,Location_13,56.0,0,224,2024-09-13
14,Location_14,56.5,1,226,2024-09-14
15,Location_15,57.0,2,228,2024-09-15
16,Location_16,57.5,0,230,2024-09-16
17,Location_17,58.0,1,232,2024-09-17
18,Location_18,58.5,2,234,2024-09-18
19,Location_19,59.0,0,236,2024-09-19
20,Location_20,59.5,1,238,2024-09-20
21,Location_21,60.0,2,240,2024-09-21
22,Location_22,60.5,0,242,2024-09-22
23,Location_23,61.0,1,244,2024-09-23
24,Location_24,61.5,2,246,2024-09-24
25,Location_25,62.0,0,248,2024-09-25
26,Location_26,62.5,1,250,2024-09-26
27,Location_27,63.0,2,252,2024-09-27
28,Location_28,63.5,0,254,2024-09-28
29,Location_29,64.0,1,256,2024-09-29
30,Location_30,64.5,2,258,2024-09-30
31,Location_31,65.0,0,260,2024-10-01
32,Location_32,65.5,1,262,2024-10-02
33,Location_33,66.0,2,264,2024-10-03
34,Location_34,66.5,0,266,2024-10-04
35,Location_35,67.0,1,268,2024-10-05
36,Location_36,67.5,2,270,2024-10-06
37,Location_37,68.0,0,272,2024-10-07
38,Location_38,68.5,1,274,2024-10-08
39,Location_39,69.0,2,276,2024-10-09
40,Location_40,69.5,0,278,2024-10-10
41,Location_41,70.0,1,280,2024-10-11
42,Location_42,70.5,2,282,2024-10-12
43,Location_43,71.0,0,284,2024-10-13
44,Location_44,71.5,1,286,2024-10-14
45,Location_45,72.0,2,288,2024-10-15
46,Location_46,72.5,0,290,2024-10-16
47,Location_47,73.0,1,292,2024-10-17
48,Location_48,73.5,2,294,2024-10-18
49,Location_49,74.0,0,296,2024-10-19
50,Location_50,74.5,1,298,2024-10-20
51,Location_51,75.0,2,300,2024-10-21
52,Location_52,75.5,0,302,2024-10-22
53,Location_53,76.0,1,304,2024-10-23
54,Location_54,76.5,2,306,2024-10-24
55,Location_55,77.0,0,308,2024-10-25
56,Location_56,77.5,1,310,2024-10-26
57,Location_57,78.0,2,312,2024-10-27
58,Location_58,78.5,0,314,2024-10-28
59,Location_59,79.0,1,316,2024-10-29
60,Location_60,79.5,2,318,2024-10-30
61,Location_61,80.0,0,320,2024-10-31
62,Location_62,80.5,1,322,2024-11-01
63,Location_63,81.0,2,324,2024-11-02
64,Location_64,81.5,0,326,2024-11-03
65,Location_65,82.0,1,328,2024-11-04
66,Location_66,82.5,2,330,2024-11-05
67,Location_67,83.0,0,332,2024-11-06
68,Location_68,83.5,1,334,2024-11-07
69,Location_69,84.0,2,336,2024-11-08
70,Location_70,84.5,0,338,2024-11-09
71,Location_71,85.0,1,340,2024-11-10
72,Location_72,85.5,2,342,2024-11-11
73,Location_73,86.0,0,344,2024-11-12
74,Location_74,86.5,1,346,2024-11-13
75,Location_75,87.0,2,348,2024-11-14
76,Location_76,87.5,0,350,2024-11-15
77,Location_77,88.0,1,352,2024-11-16
78,Location_78,88.5,2,354,2024-11-17
79,Location_79,89.0,0,356,2024-11-18
80,Location_80,89.5,1,358,2024-11-19
81,Location_81,90.0,2,360,2024-11-20
82,Location_82,90.5,0,362,2024-11-21
83,Location_83,91.0,1,364,2024-11-22
84,Location_84,91.5,2,366,2024-11-23
85,Location_85,92.0,0,368,2024-11-24
86,Location_86,92.5,1,370,2024-11-25
87,Location_87,93.0,2,372,2024-11-26
88,Location_88,93.5,0,374,2024-11-27
89,Location_89,94.0,1,376,2024-11-28
90,Location_90,94.5,2,378,2024-11-29
91,Location_91,95.0,0,380,2024-11-30
92,Location_92,95.5,1,382,2024-12-01
93,Location_93,96.0,2,384,2024-12-02
94,Location_94,96.5,0,386,2024-12-03
95,Location_95,97.0,1,388,2024-12-04
96,Location_96,97.5,2,390,2024-12-05
97,Location_97,98.0,0,392,2024-12-06
98,Location_98,98.5,1,394,2024-12-07
99,Location_99,99.0,2,396,2024-12-08
100,Location_100,99.5,0,398,2024-12-09
